Column,Point-Biserial Correlation,P-value
HeightInMeters,0.023058562103926115,2.680270217356652e-30
WeightInKilograms,0.03843558794581402,4.378522592945912e-81
BMI,0.03041348110560678,1.9223816884591188e-51
